Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
8726,1506,nail,complete,light verdigris,TRUE,26,9,,,,,flat (irreg),rolled,,FALSE,3,1.52,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7387,1576,nail,complete,light verdigris,TRUE,20,7,,,,,flat (irreg),rolled,,FALSE,3,0.77,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7388,1579,nail,complete,light verdigris,TRUE,17,13,,,,,domed,rolled,,FALSE,2,1.71,possibly a rivet,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
7398,1595,nail,fragment,moderate verdigris,TRUE,29,,,,,,,rolled,,FALSE,3,0.42,shaft fragment.,FALSE,S18.7,1770,1790,1770-1790,1750-1810,Pantry
7411,1627,nail,fragment,light verdigris,TRUE,,9,,,,,domed,rolled,,FALSE,,0.2,head of a mount?,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7414,1627,nail,fragment,light verdigris,TRUE,9,11,,,,,flat (irreg),rolled,,FALSE,3,0.85,shaft end missing; head bent,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7425,1627,nail,near complete,moderate verdigris,TRUE,21,8,,,,,domed,rolled,,FALSE,2,0.96,,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18372,1627,nail,fragment,heavy verdigris,FALSE,8,4,,,,,flat (irreg),rolled,,FALSE,3,0.2,part of shaft missing - possibly ID 80 is the shaft (in the same bag but not attached).,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18372,1627,nail,fragment,moderate verdigris,FALSE,16,,,,,,,rolled,,FALSE,2,0.18,shaft fragm; possibly same as ID 79,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
7434,1630,nail,complete,light verdigris,TRUE,33,5,,,,,flat (irreg),rolled,,FALSE,3,1.11,,FALSE,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
