Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
568,95,strap,fragment,moderate verdigris,FALSE,,,,18,29,,,,,FALSE,,6.47,"2-3mm thick, rivet attached; possibly a part of a vessel/vessel lid; similar to ID 43 in copper misc database",FALSE,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
576,143,strap,fragment,moderate verdigris,FALSE,,,,20,17,,,,,FALSE,,1.15,,FALSE,S21.3,1750,1770,1750-1770,1750-1780,School Room
576,143,strap,fragment,moderate verdigris,FALSE,,,,14,8,,,,,FALSE,,0.3,rolled up strap,FALSE,S21.3,1750,1770,1750-1770,1750-1780,School Room
5934,164,strap,fragment,light verdigris,FALSE,,,,76,10,,,,,FALSE,,7.75,fastening strap,FALSE,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
1062,166,strap,fragment,light verdigris,TRUE,,,,49,14,,,,,FALSE,,5.74,thick fragment,FALSE,S9.2,1800,1880,1800-1880,1780-1900,Living Quarters
1152,182,strap,fragment,light verdigris,FALSE,,,,24,12,,,,,FALSE,,8.08,attached to a piece of mud with tiny iron bits in it = textile and again a heavy piece of copper,FALSE,S32.1,1850,1890,1850-1890,1840-1900,Forge
2202,252,strap,fragment,light verdigris,FALSE,,,,14,13,,,,,FALSE,,0.78,,FALSE,S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
1678,348,strap,near complete,light verdigris,FALSE,,,,8,4,,,,,FALSE,,0.32,,FALSE,S8.2,1750,1800,1750-1800,1750-1810,Nursery/Private Chambers
2174,405,strap,complete,light verdigris,FALSE,,,,16,10,,,,,FALSE,,1.04,rather thick,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2477,454,strap,near complete,light verdigris,FALSE,,,,31,4,,,,,FALSE,,0.53,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2925,459,strap,fragment,light verdigris,FALSE,,,,12,9,,,,,FALSE,,0.67,ends seem decorated with an outline,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2925,459,strap,fragment,light verdigris,FALSE,,,,11,10,,,,,FALSE,,0.11,very thin,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2925,459,strap,fragment,light verdigris,FALSE,,,,10,6,,,,,FALSE,,0.13,very thin sheet,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2277,512,strap,fragment,moderate verdigris,FALSE,,,,33,9,,,,,FALSE,,0.59,,FALSE,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
2955,591,strap,near complete,light verdigris,FALSE,,,,11,7,,,,,FALSE,,0.29,,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
4686,591,strap,fragment,light verdigris,TRUE,,,,34,6,,,,,FALSE,,4.01,strap with differential thickness and bends as it would seem purposefully outwards as it thickens. Thinnest part has half of a hole for a rivet/nail visible,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
2961,592,strap,fragment,moderate verdigris,FALSE,,,,25,13,,,,,FALSE,,1.98,triangle shaped rather thick fragment,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
