ID,Sherd group,Find No,Unit No,Group No,Refit/Same as,Vessel ID,Same as VID,Colour,Lead crystal,Textured surface,Vessel Function,Vessel Class,Vessel Type_new,Finish process,Rim type,Rim Code,string rim depth,Body process,Ghost seam,Base process,Base mark,Base embossing,Process,evrep,Count,Weight,eve (rim),eve (base),size (mm),height (mm),Vessel Diam,Applied decoration,Moulded decoration,Enamelled,Engraved,Cut,Etched,Burnt,Patination,Date,Notes,Illustration,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
3920,1112,2747,607,,,,,colourless,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,body; lamp or goblet,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,741,733,Floor,in situ,TRUE,,
4136,1113,2765,581,,,,,modern green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4081,1119,2784,571,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,4,1,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3919,1120,2784,571,,,,,colourless,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4135,1205,3220,414,,,,,modern green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3944,1214,3282,445,,,,,emerald,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3889,1220,3289,673,,,,,blue,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,FALSE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4072,1225,3317,368,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,2,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4073,1226,3317,368,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,glass thread/band - rigaree,,,,,,FALSE,TRUE,16/17 c?,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4121,1078,2544,502,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,3,2,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3953,1117,2784,571,,,,,emerald,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,1,1,,,,,,,,,,,,FALSE,FALSE,,chip,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4123,1118,2784,571,,,,,light green,FALSE,FALSE,,,,,,,,,FALSE,,,,,batch,4,3,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
