Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
5469,998,31,1.28,2,light green,Occasional,Chipped,Straight,,TRUE,curved,,,,FALSE,slight,,,,pane,,,11.46,7.82,0.682373473,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,TRUE
5461,988,27,17.39,1.2,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,10.88,7.86,0.722426471,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,TRUE
15205,2779,4,1.74,1.2,light green,None,Cut,Straight,,FALSE,straight-sided,,,,FALSE,slight,,edge - parallel lines,"one fragment has two sets of two parallel scratch marks, perhaps decoration, or perhaps original cut lines. If these are original cut lines, the fragment was unfinished. A second fragment has a scratched line parallel and very close to it's cut edge.",pane,,,,,,C.1,1670-1720,1670,1720,1660-1720,Courtyard,1257,1257,External area,in situ,FALSE
15230,2907,1,0.69,1.2,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S24.1,1670-1720,1670,1720,1660-1720,Corridor,2906,2906,Floor,in situ,FALSE
5495,1026,13,6.84,1.4,light green,Occasional,Cut,Straight,,FALSE,straight-sided,,,,FALSE,slight,,edge - parallel lines,three distinct scratches along the cut edge,pane,,,,,,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,FALSE
15245,2635,3,4.28,1.4,light green,Occasional,Cut,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,C.1,1670-1720,1670,1720,1660-1720,Courtyard,1257,1257,External area,in situ,FALSE
5672,1026,3,2.86,1.8,light green,None,Beaded,Straight,,FALSE,straight-sided,,,,FALSE,,,,,pane,,,,,,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,FALSE
15305,2583,3,3.15,3,light green,None,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,C.1,1670-1720,1670,1720,1660-1720,Courtyard,1257,1257,External area,in situ,FALSE
5461,988,6,1.18,0.8,colourless,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,10.85,8.12,0.748387097,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,TRUE
15371,2680,1,0.73,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,C.1,1670-1720,1670,1720,1660-1720,Courtyard,1257,1257,External area,in situ,FALSE
15153,2962,1,2.27,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S24.1,1670-1720,1670,1720,1660-1720,Corridor,2906,2906,Floor,in situ,FALSE
5461,988,26,17.71,1.2,light green,Occasional,Cut,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,TRUE
5495,1026,2,1.14,1.4,dark green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,FALSE
5469,998,29,10.4,2,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S30.1,1670-1720,1670,1720,1660-1720,School Master's House,901,901,Floor,in situ,TRUE
8131,1489,1,1.28,1.1,colourless,Occasional,Chipped,Straight,,FALSE,curved,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,in situ,FALSE
8345,1700,3,3.16,1.2,light green,Occasional,Chipped,Straight,,TRUE,diamond/lozenge,,,,FALSE,moderate,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,1608,1608,Floor,in situ,FALSE
8109,1463,1,0.5,1.2,light green,None,Chipped,Straight,,FALSE,other,,,,FALSE,slight,"has on one side painted light and dark diagonal lines, only visible from the opposite side.",,,painted pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,in situ,FALSE
5231,691,1,4.68,1.5,light green,None,Cut & Chipped,Straight,,TRUE,other,,,,FALSE,slight,,,,pane,,Re-used glass.  Chipped into shadow line,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,163,691,Building,in situ,FALSE
8340,1696,1,0.41,1.2,colourless,Occasional,Cut & Chipped,Straight,,FALSE,spandrel,,,,FALSE,moderate,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,1608,1608,Drain,in situ,FALSE
8178,1531,1,0.31,0.8,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2756,2756,Floor,in situ,TRUE
1930,337,2,2.01,1,light green,None,Cut & Chipped,Straight,,TRUE,straight-sided,,,,FALSE,,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,disturbed,FALSE
8155,1509,1,0.34,1.1,dark green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,absent,,,,pane,,,10.72,6.68,0.623134328,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,disturbed,FALSE
8155,1509,2,1.15,1.1,light green,Occasional,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,disturbed,FALSE
8163,1517,1,0.85,1.1,brown,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,?vessel,,dark brown fragment,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,in situ,FALSE
8178,1531,1,0.56,1.4,red,,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,dark red glass,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2756,2756,Floor,in situ,TRUE
5231,691,3,1.64,1.8,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,163,691,Building,in situ,FALSE
8109,1463,1,3.23,1.8,light green,Occasional,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,in situ,FALSE
8328,1673,1,2.62,1.8,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,1608,1608,Floor,in situ,FALSE
8163,1517,1,1.25,2,colourless,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,in situ,FALSE
1930,337,1,1.94,3,colourless,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,mirror,,Mirror fragment,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,disturbed,FALSE
8136,1496,1,0.72,0.9,,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,Greyish tint fragment.  Scratch mark probably made by a wheel.,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,disturbed,FALSE
2079,401,1,0.92,1,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,10.77,7.92,0.735376045,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,421,421,Floor,disturbed,FALSE
8155,1509,1,0.93,1.1,colourless,None,,Straight,,FALSE,,,,,FALSE,slight,,ND,scratch mark,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,disturbed,FALSE
5231,691,1,2.05,1.8,dark green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,163,691,Building,in situ,FALSE
2366,337,1,0.59,2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,disturbed,FALSE
8136,1496,1,0.24,2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,disturbed,FALSE
8163,1517,1,1.03,2,light green,Occasional,,Straight,,FALSE,,,,,FALSE,absent,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,in situ,FALSE
8213,1568,2,0.62,2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2758,2758,Floor,in situ,TRUE
8110,1464,1,1.57,3,light green,None,Cut,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,747,691,Wall,disturbed,FALSE
7005,1517,5,0.8,,,,,,,FALSE,,,,,FALSE,poor,,,,,,"flat glass, heavily diseased to a brown amber colour and crystallized x-section",,,,S11.1,1690-1720,1690,1720,1690-1720,Living Quarters,2757,2757,Floor,in situ,FALSE
14298,2872,1,0.18,1.1,colourless,Frequent,Chipped,Straight,,FALSE,circular/oval,,,,FALSE,slight,,,,watch glass,,watch cover,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
11129,1878,1,1.2,1.5,light green,None,Cut & Chipped,Straight,,FALSE,curved,,,,FALSE,,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
11111,1861,6,7.26,1.4,dark green,Frequent,Chipped,Straight,,TRUE,diamond/lozenge,,,,FALSE,slight,,perp - line,A scratched line going at a right angle from the original edge on one fragment,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
15307,2615,1,1.1,1.4,light green,None,Chipped,Straight,,TRUE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,599,2535,Drain,in situ,TRUE
11111,1861,1,0.66,1.6,colourless,Occasional,Cut,Straight,,FALSE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
11150,1903,1,1.94,2,light green,Occasional,Chipped,Straight,,TRUE,diamond/lozenge,33,,length 33mm,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
14323,2872,3,2.72,1.1,light green,Occasional,Cut & Chipped,Straight,,TRUE,other,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
17428,2689,1,0.5,1.2,light green,None,Chipped,Straight,,TRUE,spandrel,,,,FALSE,slight,,,,pane,,may also be a sharp diamond or triangle,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11150,1903,1,3.84,1.5,light green,Occasional,Chipped,,,TRUE,spandrel,38,35,length 38mm width 35mm,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
15263,2872,1,17.07,1.2,light green,None,Beaded;Cut & Chipped,Straight,,FALSE,square/rectangular,,64,"width: 64, min. Length: 88.",FALSE,heavy,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
15262,2997,2,2.85,1.5,light green,Occasional,Chipped,Straight,,FALSE,square/rectangular,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2551,2551,Floor,in situ,FALSE
11111,1861,12,3.66,1,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
11129,1878,2,0.87,1,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
17433,2688,5,1.56,1,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,heavy,,edge - line,linear scratch mark on one piece  close to the edge.,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15157,2694,1,0.75,1,light green,Occasional,Cut,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15259,2695,2,1.16,1,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17441,2902,10,1.75,1,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17567,2709,2,0.76,1.1,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17429,2904,2,0.91,1.1,light green,None,Beaded,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11111,1861,6,7.98,1.2,light green,Occasional,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
11200,1998,1,0.2,1.2,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,absent,,edge - line,A scratch mark apparently parallel to the chipped edge.,pane,,,10.25,6.5,0.634146341,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
15353,2682,1,0.26,1.2,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15219,2689,1,1.2,1.2,light green,Occasional,Cut,Straight,curved,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15156,2871,3,2.25,1.2,light green,None,Cut,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,edge - parallel lines,heavy scratching close to the cut edge,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
15232,2902,1,0.82,1.2,light green,Occasional,Cut,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15302,2610,1,3.75,1.4,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2551,2551,Floor,in situ,FALSE
17384,2689,2,0.45,1.4,colourless,None,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15307,2615,2,20.9,1.5,light green,Occasional,Beaded,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,599,2535,Drain,in situ,TRUE
14326,2649,3,2.42,1.5,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,ND,Two thick lines on one piece,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15338,2658,1,1.8,1.5,colourless,None,Cut,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2551,2551,Floor,disturbed,TRUE
17458,2682,10,3.13,1.5,colourless,None,Chipped,Straight,,FALSE,straight-sided,,,,TRUE,moderate,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
14217,2824,1,0.71,1.5,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17474,2903,1,1.17,1.5,colourless,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,heavy,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17441,2902,3,0.91,1.6,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17459,2687,2,1.54,1.8,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17452,2693,1,0.79,1.8,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,edge - parallel lines,two parallel scratch marks  parallel to chipped edge,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11132,1880,1,1.33,2,light green,None,Cut & Chipped,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,Yellowish tint,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
11150,1903,2,3.03,2,dark green,Frequent,Chipped,Straight,curved,FALSE,straight-sided,,,,FALSE,absent,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
11150,1903,1,1.29,2,light green,None,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
15124,2872,1,1.29,2,dark green,None,Beaded,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
15147,2949,1,4.17,2,colourless,Frequent,Cut,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,?machine glass,,cut may suggest modern glass,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17431,2948,2,0.97,1,colourless,,Cut,Straight,,FALSE,triangle,31,23,"length 31mm, height 23mm",FALSE,,,,,pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11146,1899,1,3.7,1.2,dark green,Frequent,Chipped;Cut,Straight,,TRUE,triangle,,,,FALSE,slight,,,,pane,,"probably a triangle, where the long side is  cut and the two short sides are chipped. A notch chipped into the chipped side.",,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
19044,2615,2,0.5,1,light green,,chipped,Straight,,FALSE,triangle/diamond,,,,FALSE,moderate,,,,pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,599,2535,Drain,in situ,TRUE
11327,2178,1,0.24,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,2550,2535,Floor,in situ,TRUE
17468,2615,1,0.11,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,599,2535,Drain,in situ,TRUE
15310,2684,4,0.82,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17435,2691,3,0.68,1,colourless,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17414,2872,2,0.39,1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2863,2551,Floor,in situ,TRUE
17438,2949,2,0.49,1,colourless,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11150,1903,1,1.99,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
15211,2691,1,0.62,1.1,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17430,2692,1,0.92,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17471,2903,4,1.1,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17471,2903,4,1.51,1.1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17431,2948,1,0.82,1.1,colourless,Frequent,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11111,1861,7,8.86,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Wall,disorganized,FALSE
11133,1882,1,0.68,1.2,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
15202,2693,2,0.74,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11328,2179,2,1.72,1.4,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,2550,2535,Floor,in situ,TRUE
15120,2683,1,0.95,1.4,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,ND,"one surface has shallow and irregular scratches, the other has two clear scratches, parallel ca. 3,5 mm apart.",?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15319,2687,2,0.51,1.4,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11150,1903,4,3.77,1.5,light green,Occasional,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
17468,2615,1,0.82,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S27.1,1700-1720,1700,1720,1690-1720,Passage,599,2535,Drain,in situ,TRUE
19037,2684,1,0.1,1.5,light green,,chipped,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15331,2686,1,1.06,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17439,2690,2,1.7,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17463,2695,1,0.77,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17463,2695,1,0.51,1.5,light green,Frequent,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17471,2903,2,0.22,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,yellowish tint,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
15233,2903,4,1.63,1.5,light green,Occasional,,Straight,,FALSE,,,,,FALSE,moderate,,ND,Scratch mark on one piece,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11131,1879,1,1.37,1.8,light green,Occasional,,jagged,,FALSE,,,,,FALSE,heavy,,,,?pane,,possibly burned,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,1997,2551,Floor,in situ,TRUE
15333,2685,1,1.23,1.8,colourless,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17453,2694,1,4.2,1.8,light green,Frequent,,Straight,,FALSE,,,,,FALSE,heavy,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
17474,2903,2,0.36,1.8,light green,None,Cut,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
11150,1903,1,1.54,2,dark green,Occasional,,Straight,curved,FALSE,,,,,FALSE,absent,,,,vessel,,Glass from a vessel,,,,S31.2,1700-1720,1700,1720,1690-1720,Bishops Dining Room,1904,1904,Midden,disturbed,FALSE
15369,2684,1,1.96,2,dark green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2658,2551,Floor,in situ,TRUE
