Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
2544,502,3,0.71,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2578,524,1,0.26,1,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2784,571,1,0.42,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3443,610,1,0.6,1,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3317,368,2,1.99,1.2,,None,,Straight,,FALSE,,,,,FALSE,slight,"Yellow glass. Painted, possibly the figure of a man, in at least two colours.",,,?painted pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2544,502,1,0.17,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,"an indistinct painted pattern, might be a fragment of a picture or a pattern.",,,?painted pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2569,481,1,0.41,1.4,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,vessel,,Vessel,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2482,526,1,0.4,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,741,733,Floor,in situ,FALSE
2584,529,2,0.3,1.5,colourless,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,742,733,Floor,in situ,TRUE
3289,673,3,0.91,1.5,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
